DATE,GDP,GDPC1
1947-01-01,243.164,2034.45
1947-04-01,245.968,2029.024
1947-07-01,249.585,2024.834
1947-10-01,259.745,2056.508
1948-01-01,265.742,2087.442
1948-04-01,272.567,2121.899
1948-07-01,279.196,2134.056
1948-10-01,280.366,2136.44
1949-01-01,275.034,2107.001
1949-04-01,271.351,2099.814
1949-07-01,272.889,2121.493
1949-10-01,270.627,2103.688
1950-01-01,280.828,2186.365
1950-04-01,290.383,2253.045
1950-07-01,308.153,2340.112
1950-10-01,319.945,2384.92
1951-01-01,336.0,2417.311
1951-04-01,344.09,2459.196
1951-07-01,351.385,2509.88
1951-10-01,356.178,2515.408
1952-01-01,359.82,2542.286
1952-04-01,361.03,2547.762
1952-07-01,367.701,2566.153
1952-10-01,380.812,2650.431
1953-01-01,387.98,2699.699
1953-04-01,391.749,2720.566
1953-07-01,391.171,2705.258
1953-10-01,385.97,2664.302
1954-01-01,385.345,2651.566
1954-04-01,386.121,2654.456
1954-07-01,390.996,2684.434
1954-10-01,399.734,2736.96
1955-01-01,413.073,2815.134
1955-04-01,421.532,2860.942
1955-07-01,430.221,2899.578
1955-10-01,437.092,2916.985
1956-01-01,439.746,2905.656
1956-04-01,446.01,2929.666
1956-07-01,451.191,2927.034
1956-10-01,460.463,2975.209
1957-01-01,469.779,2994.259
1957-04-01,472.025,2987.699
1957-07-01,479.49,3016.979
1957-10-01,474.864,2985.775
1958-01-01,467.54,2908.281
1958-04-01,471.978,2927.395
1958-07-01,485.841,2995.112
1958-10-01,499.555,3065.141
1959-01-01,510.33,3123.978
1959-04-01,522.653,3194.429
1959-07-01,525.034,3196.683
1959-10-01,528.6,3205.79
1960-01-01,542.648,3277.847
1960-04-01,541.08,3260.177
1960-07-01,545.604,3276.133
1960-10-01,540.197,3234.087
1961-01-01,545.018,3255.914
1961-04-01,555.545,3311.181
1961-07-01,567.664,3374.742
1961-10-01,580.612,3440.924
1962-01-01,594.013,3502.298
1962-04-01,600.366,3533.947
1962-07-01,609.027,3577.362
1962-10-01,612.28,3589.128
1963-01-01,621.672,3628.306
1963-04-01,629.752,3669.02
1963-07-01,644.444,3749.681
1963-10-01,653.938,3774.264
1964-01-01,669.822,3853.835
1964-04-01,678.674,3895.793
1964-07-01,692.031,3956.657
1964-10-01,697.319,3968.878
1965-01-01,717.79,4064.915
1965-04-01,730.191,4116.267
1965-07-01,749.323,4207.782
1965-10-01,771.857,4304.731
1966-01-01,795.734,4409.518
1966-04-01,804.981,4424.581
1966-07-01,819.638,4462.053
1966-10-01,833.302,4498.66
1967-01-01,844.17,4538.498
1967-04-01,848.983,4541.28
1967-07-01,865.233,4584.246
1967-10-01,881.439,4618.812
1968-01-01,909.387,4713.013
1968-04-01,934.344,4791.758
1968-07-01,950.825,4828.892
1968-10-01,968.03,4847.885
1969-01-01,993.337,4923.76
1969-04-01,1009.02,4938.728
1969-07-01,1029.956,4971.349
1969-10-01,1038.147,4947.104
1970-01-01,1051.2,4939.759
1970-04-01,1067.375,4946.77
1970-07-01,1086.059,4992.357
1970-10-01,1088.608,4938.857
1971-01-01,1135.156,5072.996
1971-04-01,1156.271,5100.447
1971-07-01,1177.675,5142.422
1971-10-01,1190.297,5154.547
1972-01-01,1230.609,5249.337
1972-04-01,1266.369,5368.485
1972-07-01,1290.566,5419.184
1972-10-01,1328.904,5509.926
1973-01-01,1377.49,5646.286
1973-04-01,1413.887,5707.755
1973-07-01,1433.838,5677.738
1973-10-01,1476.289,5731.632
1974-01-01,1491.209,5682.353
1974-04-01,1530.056,5695.859
1974-07-01,1560.026,5642.025
1974-10-01,1599.679,5620.126
1975-01-01,1616.116,5551.713
1975-04-01,1651.853,5591.382
1975-07-01,1709.82,5687.087
1975-10-01,1761.831,5763.665
1976-01-01,1820.487,5893.276
1976-04-01,1852.332,5936.515
1976-07-01,1886.558,5969.089
1976-10-01,1934.273,6012.356
1977-01-01,1988.648,6083.391
1977-04-01,2055.909,6201.659
1977-07-01,2118.473,6313.559
1977-10-01,2164.27,6313.697
1978-01-01,2202.76,6333.848
1978-04-01,2331.633,6578.605
1978-07-01,2395.053,6644.754
1978-10-01,2476.949,6734.069
1979-01-01,2526.61,6746.176
1979-04-01,2591.247,6753.389
1979-07-01,2667.565,6803.558
1979-10-01,2723.883,6820.572
1980-01-01,2789.842,6842.024
1980-04-01,2797.352,6701.046
1980-07-01,2856.483,6693.082
1980-10-01,2985.557,6817.903
1981-01-01,3124.206,6951.495
1981-04-01,3162.532,6899.98
1981-07-01,3260.609,6982.609
1981-10-01,3280.818,6906.529
1982-01-01,3274.302,6799.233
1982-04-01,3331.972,6830.251
1982-07-01,3366.322,6804.139
1982-10-01,3402.561,6806.857
1983-01-01,3473.413,6896.561
1983-04-01,3578.848,7053.5
1983-07-01,3689.179,7194.504
1983-10-01,3794.706,7344.597
1984-01-01,3908.054,7488.167
1984-04-01,4009.601,7617.547
1984-07-01,4084.25,7690.985
1984-10-01,4148.551,7754.117
1985-01-01,4230.168,7829.26
1985-04-01,4294.887,7898.194
1985-07-01,4386.773,8018.809
1985-10-01,4444.094,8078.415
1986-01-01,4507.894,8153.829
1986-04-01,4545.34,8190.552
1986-07-01,4607.669,8268.935
1986-10-01,4657.627,8313.338
1987-01-01,4722.156,8375.274
1987-04-01,4806.16,8465.63
1987-07-01,4884.555,8539.075
1987-10-01,5007.994,8685.694
1988-01-01,5073.372,8730.569
1988-04-01,5190.036,8845.28
1988-07-01,5282.835,8897.107
1988-10-01,5399.509,9015.661
1989-01-01,5511.253,9107.314
1989-04-01,5612.463,9176.827
1989-07-01,5695.365,9244.816
1989-10-01,5747.237,9263.033
1990-01-01,5872.701,9364.259
1990-04-01,5960.028,9398.243
1990-07-01,6015.116,9404.494
1990-10-01,6004.733,9318.876
1991-01-01,6035.178,9275.276
1991-04-01,6126.862,9347.597
1991-07-01,6205.937,9394.834
1991-10-01,6264.54,9427.581
1992-01-01,6363.102,9540.444
1992-04-01,6470.763,9643.893
1992-07-01,6566.641,9739.185
1992-10-01,6680.803,9840.753
1993-01-01,6729.459,9857.185
1993-04-01,6808.939,9914.565
1993-07-01,6882.098,9961.873
1993-10-01,7013.738,10097.362
1994-01-01,7115.652,10195.338
1994-04-01,7246.931,10333.495
1994-07-01,7331.075,10393.898
1994-10-01,7455.288,10512.962
1995-01-01,7522.289,10550.251
1995-04-01,7580.997,10581.723
1995-07-01,7683.125,10671.738
1995-10-01,7772.586,10744.203
1996-01-01,7868.468,10824.674
1996-04-01,8032.84,11005.217
1996-07-01,8131.408,11103.935
1996-10-01,8259.771,11219.238
1997-01-01,8362.655,11291.665
1997-04-01,8518.825,11479.33
1997-07-01,8662.823,11622.911
1997-10-01,8765.907,11722.722
1998-01-01,8866.48,11839.876
1998-04-01,8969.699,11949.492
1998-07-01,9121.097,12099.191
1998-10-01,9293.991,12294.737
1999-01-01,9411.682,12410.778
1999-04-01,9526.21,12514.408
1999-07-01,9686.626,12679.977
1999-10-01,9900.169,12888.281
2000-01-01,10002.179,12935.252
2000-04-01,10247.72,13170.749
2000-07-01,10318.165,13183.89
2000-10-01,10435.744,13262.25
2001-01-01,10470.231,13219.251
2001-04-01,10599.0,13301.394
2001-07-01,10598.02,13248.142
2001-10-01,10660.465,13284.881
2002-01-01,10783.5,13394.91
2002-04-01,10887.46,13477.356
2002-07-01,10984.04,13531.741
2002-10-01,11061.433,13549.421
2003-01-01,11174.129,13619.434
2003-04-01,11312.766,13741.107
2003-07-01,11566.669,13970.157
2003-10-01,11772.234,14131.379
2004-01-01,11923.447,14212.34
2004-04-01,12112.815,14323.017
2004-07-01,12305.307,14457.832
2004-10-01,12527.214,14605.595
2005-01-01,12767.286,14767.846
2005-04-01,12922.656,14839.707
2005-07-01,13142.642,14956.291
2005-10-01,13324.204,15041.232
2006-01-01,13599.16,15244.088
2006-04-01,13753.424,15281.525
2006-07-01,13870.188,15304.517
2006-10-01,14039.56,15433.643
2007-01-01,14215.651,15478.956
2007-04-01,14402.082,15577.779
2007-07-01,14564.117,15671.605
2007-10-01,14715.058,15767.146
2008-01-01,14706.538,15702.906
2008-04-01,14865.701,15792.773
2008-07-01,14898.999,15709.562
2008-10-01,14608.208,15366.607
2009-01-01,14430.901,15187.475
2009-04-01,14381.236,15161.772
2009-07-01,14448.882,15216.647
2009-10-01,14651.248,15379.155
2010-01-01,14764.611,15456.059
2010-04-01,14980.193,15605.628
2010-07-01,15141.605,15726.282
2010-10-01,15309.471,15807.995
2011-01-01,15351.444,15769.911
2011-04-01,15557.535,15876.839
2011-07-01,15647.681,15870.684
2011-10-01,15842.267,16048.702
2012-01-01,16068.824,16179.968
2012-04-01,16207.13,16253.726
2012-07-01,16319.54,16282.151
2012-10-01,16420.386,16300.035
2013-01-01,16629.05,16441.485
2013-04-01,16699.551,16464.402
2013-07-01,16911.068,16594.743
2013-10-01,17133.114,16712.76
2014-01-01,17144.281,16654.247
2014-04-01,17462.703,16868.109
2014-07-01,17743.227,17064.616
2014-10-01,17852.54,17141.235
2015-01-01,17991.348,17280.647
2015-04-01,18193.707,17380.875
2015-07-01,18306.96,17437.08
2015-10-01,18332.079,17462.579
2016-01-01,18425.306,17565.465
2016-04-01,18611.617,17618.581
2016-07-01,18775.459,17724.489
2016-10-01,18968.041,17812.56
2017-01-01,19153.912,17896.623
2017-04-01,19322.92,17996.802
2017-07-01,19558.693,18126.226
2017-10-01,19882.965,18296.685
2018-01-01,20143.716,18436.262
2018-04-01,20492.492,18590.004
2018-07-01,20659.102,18679.599
2018-10-01,20813.325,18721.281
2019-01-01,21001.591,18833.195
2019-04-01,21289.268,18982.528
2019-07-01,21505.012,19112.653
2019-10-01,21694.458,19202.31
2020-01-01,21481.367,18951.992
2020-04-01,19477.444,17258.205
2020-07-01,21138.574,18560.774
2020-10-01,21477.597,18767.778
2021-01-01,22038.226,19055.655
2021-04-01,22731.369,19360.6
